manufacture_id;manufacture_desc
1;Unknown
2;A4Tech
3;Acer
4;Amacrox
5;APC
6;Assembly
7;Casio
8;Cisco
9;Dell
10;DJI
11;D-Link
12;Efibre
13;Epson
14;Fingertec
15;Gigabyte
16;Hikvision
17;Hitachi
18;Howel
19;HP
20;IBM
21;JAHT
22;Lenovo
23;LG
24;Liebert
25;Logitech
26;Maxtor
27;Microsoft
28;Mikrotik
29;Ncomputing
30;NEC
31;Netgear
32;NVIDIA
33;Okaya
34;Panasonic
35;Peplink
36;Philips
37;Ricoh
38;Samsung
39;Sanfix
40;Seagate
41;Sunsheng
42;Synology
43;Targus
44;Tenda
45;Toshiba
46;TP-Link
47;Ubiquiti
48;VGEN
49;Watchguard
50;WD
51;Xiaomi
52;Yeastar
